skaterFullName,playerId,season,y_test,y_pred
Frank Nazar,8483493,20242025,17.0,43.95492
Tyler Bertuzzi,8477479,20242025,27.0,43.88664
Jaccob Slavin,8476958,20242025,0.0,43.851715
Radko Gudas,8475462,20242025,4.0,43.618927
Adam Lowry,8476392,20242025,2.0,43.571117
Mikael Backlund,8474150,20242025,12.0,43.523632
Elmer Soderblom,8481725,20242025,2.0,43.295418
Esa Lindell,8476902,20242025,14.0,43.244926
Ryan Poehling,8480068,20242025,7.0,42.861618
Dmitry Orlov,8475200,20242025,22.0,42.369076
Brayden Schenn,8475170,20242025,8.0,42.112564
Mikey Anderson,8479998,20242025,11.0,41.896904
Zach Benson,8484145,20242025,8.0,41.822838
Niko Mikkola,8478859,20242025,6.0,41.585094
Josh Manson,8476312,20242025,7.0,41.52162
Artem Zub,8482245,20242025,22.0,40.96087
Cody Glass,8479996,20242025,6.0,40.72352
Marcus Johansson,8475149,20242025,23.0,40.69974
Ryan Hartman,8477451,20242025,11.0,40.694866
Taylor Hall,8475791,20242025,14.0,40.542583
Brandon Saad,8476438,20242025,5.0,40.530308
Brian Dumoulin,8475208,20242025,4.0,40.484127
Ryan Lindgren,8479324,20242025,6.0,40.366135
Nicolas Roy,8478462,20242025,5.0,40.34809
Corey Perry,8470621,20242025,18.0,40.28757
Urho Vaakanainen,8480001,20242025,6.0,40.228157
Jordan Martinook,8476921,20242025,9.0,40.224113
Sam Rinzel,8483506,20242025,7.0,40.202293
Jeff Skinner,8475784,20242025,11.0,40.1688
Trevor van Riemsdyk,8477845,20242025,5.0,40.060287
Christian Dvorak,8477989,20242025,19.0,39.99301
Alexander Wennberg,8477505,20242025,16.0,39.91624
Olli Määttä,8476874,20242025,2.0,39.690224
Jake Middleton,8478136,20242025,4.0,39.55836
Joel Edmundson,8476441,20242025,17.0,39.531864
Jackson Blake,8482809,20242025,17.0,39.479984
Pavel Mintyukov,8483490,20242025,6.0,39.34824
Evgenii Dadonov,8474149,20242025,0.0,39.19445
Nick Foligno,8473422,20242025,6.0,39.121384
Evgeni Malkin,8471215,20242025,26.0,39.0976
Adam Boqvist,8480871,20242025,0.0,39.03062
Nicholas Robertson,8481582,20242025,16.0,38.90611
Nick Blankenburg,8483565,20242025,13.0,38.648235
Martin Fehervary,8480796,20242025,13.0,38.63276
Cam York,8481546,20242025,21.0,38.60024
Yegor Sharangovich,8481068,20242025,6.0,38.53907
Sam Steel,8479351,20242025,9.0,38.529247
Jordan Spence,8481606,20242025,15.0,38.524426
Jordan Staal,8473533,20242025,10.0,38.48139
Shane Wright,8483524,20242025,12.0,38.480812
Nick Jensen,8475324,20242025,9.0,38.474693
Oliver Ekman-Larsson,8475171,20242025,28.0,38.445263
James van Riemsdyk,8474037,20242025,3.0,38.289276
Nikita Zadorov,8477507,20242025,11.0,38.257736
Joel Armia,8476469,20242025,11.0,38.18965
Max Domi,8477503,20242025,9.0,38.16274
Teuvo Teravainen,8476882,20242025,17.0,38.107063
David Perron,8474102,20242025,11.0,38.087337
Viktor Arvidsson,8478042,20242025,16.0,38.010532
