assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,season,hat_tricks,fantasy_points,target,season_start_year,height,weight,age,rookie_year,overall_pick
1,1,2,0.61111,0,26,1,Harkins,0,4,8478424,-2,2,0.07692,C,0,0,20202021,0,0,0.0625,L,16,Jansen Harkins,WPG,503.8076,20202021,0,3,20.0,2020,185.0,89.0,23.0,0.0,47.0
18,12,24,0.51485,4,50,17,Zacha,2,10,8478401,-11,35,0.7,C,5,11,20202021,0,0,0.16504,L,103,Pavel Zacha,NJD,1029.3,20202021,0,52,51.0,2020,193.0,96.0,23.0,0.0,6.0
7,11,17,0.38392,2,56,12,Joseph,0,10,8478472,3,19,0.33928,R,1,2,20202021,0,0,0.20338,L,59,Mathieu Joseph,TBL,655.9464,20202021,0,31,45.0,2020,185.0,86.0,23.0,0.0,120.0
25,5,24,,1,49,6,Chabot,0,36,8478469,-15,31,0.63265,D,1,7,20202021,0,0,0.05,L,120,Thomas Chabot,OTT,1577.0408,20202021,0,68,83.0,2020,185.0,91.0,23.0,0.0,18.0
7,1,7,,0,41,1,Lauzon,0,40,8478468,8,8,0.19512,D,0,0,20202021,0,1,0.02083,L,48,Jeremy Lauzon,BOS,1122.6341,20202021,0,17,16.0,2020,191.0,102.0,23.0,0.0,52.0
6,3,9,,0,38,3,Stralman,0,8,8471873,-1,9,0.23684,D,0,0,20202021,0,0,0.07894,R,38,Anton Stralman,FLA,1136.9736,20202021,0,21,54.0,2020,180.0,88.0,34.0,0.0,216.0
4,1,5,0.30769,0,37,1,Reaves,0,27,8471817,0,5,0.13513,R,0,0,20202021,0,0,0.03846,R,26,Ryan Reaves,VGK,595.7567,20202021,0,6,18.0,2020,188.0,102.0,33.0,0.0,156.0
5,3,8,0.66666,0,47,3,Helm,0,10,8471794,-3,8,0.17021,C,0,0,20202021,0,0,0.03614,L,83,Darren Helm,DET,880.6595,20202021,0,11,22.0,2020,183.0,87.0,33.0,0.0,132.0
24,2,9,,1,56,3,Yandle,0,38,8471735,-8,27,0.48214,D,1,18,20202021,0,0,0.02654,L,113,Keith Yandle,FLA,1034.5,20202021,0,57,39.0,2020,185.0,87.0,34.0,0.0,105.0
9,0,9,,0,35,0,Russell,0,8,8471729,0,9,0.25714,D,0,0,20202021,0,0,0.0,L,41,Kris Russell,EDM,1103.5142,20202021,0,18,20.0,2020,178.0,77.0,33.0,0.0,67.0
38,6,29,0.0,2,55,7,Letang,1,32,8471724,19,45,0.81818,D,1,15,20202021,0,1,0.05303,R,132,Kris Letang,PIT,1478.909,20202021,0,97,146.0,2020,183.0,90.0,33.0,0.0,62.0
11,3,14,,1,47,3,Zub,0,26,8482245,4,14,0.29787,D,0,0,20202021,0,0,0.07692,R,39,Artem Zub,OTT,1102.9361,20202021,0,31,50.0,2020,191.0,91.0,25.0,,
4,0,4,,0,33,0,Jones,0,6,8478452,-7,4,0.12121,D,0,0,20202021,0,0,0.0,L,23,Caleb Jones,EDM,816.4242,20202021,0,8,35.0,2020,185.0,83.0,23.0,0.0,117.0
6,2,8,,1,43,2,Bear,0,14,8478451,-1,8,0.18604,D,0,0,20202021,0,0,0.03773,R,53,Ethan Bear,EDM,1077.6976,20202021,0,18,33.0,2020,180.0,99.0,23.0,0.0,124.0
9,0,7,,0,42,0,Zboril,0,18,8478415,0,9,0.21428,D,0,2,20202021,0,0,0.0,L,35,Jakub Zboril,BOS,1023.1666,20202021,0,18,6.0,2020,185.0,90.0,23.0,0.0,13.0
19,10,21,0.28571,0,54,12,Meier,0,22,8478414,-5,31,0.57407,R,2,10,20202021,0,0,0.07741,L,155,Timo Meier,SJS,963.4444,20202021,0,43,117.0,2020,185.0,100.0,24.0,0.0,9.0
26,6,31,0.48484,0,56,6,Greenway,0,49,8478413,5,32,0.57142,L,0,1,20202021,0,0,0.075,L,80,Jordan Greenway,MIN,947.6785,20202021,0,38,37.0,2020,198.0,105.0,23.0,0.0,50.0
24,16,37,0.6,5,56,26,Connor,0,12,8478398,-4,50,0.89285,L,10,13,20202021,0,0,0.15662,L,166,Kyle Connor,WPG,1124.3035,20202021,0,76,140.0,2020,185.0,83.0,24.0,0.0,17.0
16,4,15,,0,56,5,Andersson,0,34,8478397,-9,21,0.375,D,1,6,20202021,0,0,0.05208,R,96,Rasmus Andersson,CGY,1273.4464,20202021,0,47,104.0,2020,185.0,92.0,24.0,0.0,53.0
47,20,51,0.8,5,55,20,Marner,0,20,8478483,21,67,1.21818,R,0,14,20202021,0,2,0.1282,R,156,Mitch Marner,TOR,1345.6181,20202021,0,87,135.0,2020,183.0,82.0,23.0,0.0,4.0
1,0,1,0.6,0,7,0,Stephens,0,0,8478477,-5,1,0.14285,C,0,0,20202021,0,0,0.0,R,3,Mitchell Stephens,TBL,568.1428,20202021,0,1,6.0,2020,183.0,92.0,23.0,0.0,33.0
1,0,1,,0,1,0,Richards,0,0,8482179,1,1,1.0,C,0,0,20202021,0,0,0.0,R,2,Justin Richards,NYR,611.0,20202021,0,1,1.0,2020,180.0,86.0,22.0,,
11,1,11,0.54166,0,35,2,Okposo,0,0,8473449,-1,13,0.37142,R,0,0,20202021,1,2,0.04444,R,45,Kyle Okposo,BUF,832.8857,20202021,0,15,66.0,2020,183.0,98.0,32.0,0.0,7.0
1,0,1,,0,4,0,Johnson,0,2,8473446,2,1,0.25,D,0,0,20202021,0,0,0.0,R,5,Erik Johnson,COL,805.5,20202021,0,2,58.0,2020,193.0,102.0,32.0,0.0,1.0
13,6,15,0.44827,0,49,7,Foligno,0,32,8473422,2,20,0.40816,L,1,2,20202021,0,3,0.08641,L,81,Nick Foligno,"CBJ,TOR",1066.102,20202021,0,27,15.0,2020,183.0,95.0,33.0,0.0,28.0
